[DATETIME_KEY],AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,BCHEUR,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURHUF,EURJPY,EURNZD,EURPLN,EURRUB,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,GOLD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,PLATINUM,SILVER,USDCAD,USDCHF,USDCNH,USDCZK,USDJPY,USDMXN,USDPLN,USDRON,USDRUB,WTI
2020.12.10T11:35:00,2,-1,2,-1,2,-1,-2,2,2,1,2,2,-1,-1,2,1,-1,-1,2,2,2,2,2,2,2,2,2,-1,2,2,1,2,-2,-2,-2,-2,1,-2,-2,-1,-2,-1
2020.12.10T11:36:00,1,1,-1,2,1,-2,1,-1,-1,1,1,1,-2,-2,-1,2,-1,2,1,2,2,2,2,2,2,-1,-2,-2,-2,-2,-1,-1,1,1,-1,-1,-1,-2,-1,-1,2,2
2020.12.10T11:37:00,1,-2,-1,2,-1,-3,-2,-2,1,-1,1,-2,-2,2,-1,2,-1,-2,-1,2,2,1,2,2,2,1,-2,-2,-2,-2,-2,-1,2,-1,1,1,-2,-1,1,1,-2,-2
2020.12.10T11:38:00,-2,-2,-2,1,-2,-2,-2,-2,1,1,1,-2,-1,-1,-1,2,1,-1,-1,2,1,-1,-1,2,-1,-2,-2,-2,-2,-2,-1,-2,2,-1,2,1,-1,2,1,1,2,-3
2020.12.10T11:39:00,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,-2,-1,-1,2,-1,-2,-2,-1,1,1,1,-1,-1,1,-1,-1,1,1,2,-2
2020.12.10T11:40:00,-2,1,1,-2,1,1,2,2,-1,-1,-1,1,-1,1,1,-1,-1,2,-1,1,-1,1,1,1,1,-1,-1,2,1,2,-1,-2,-2,1,1,-1,1,1,-1,-1,2,2
2020.12.10T11:41:00,1,-2,-1,1,1,1,-2,-1,1,1,1,-1,-1,-1,1,1,1,2,1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,2,1,-1,1,1,-1,2,-1,1,2,-1
2020.12.10T11:42:00,-2,-2,-2,-2,-2,-2,-1,-1,-1,2,-1,1,-2,3,-1,1,1,2,-1,2,2,2,1,2,1,-1,-1,-1,-1,-1,-2,-1,1,1,1,-1,-1,1,1,1,2,-1
2020.12.10T11:43:00,-2,-2,-2,-2,-2,-2,-2,-2,1,2,1,-2,-1,-1,-1,1,2,-1,1,2,2,-1,1,2,1,2,-1,-2,-2,-1,2,2,-1,-2,-2,-1,-2,-1,1,-1,-2,2
2020.12.10T11:44:00,2,2,2,-1,2,2,-1,-1,-1,-1,1,1,2,1,1,-1,1,2,1,-2,-1,-1,-2,-2,-1,-2,2,2,2,2,1,-2,2,1,2,-1,-1,-2,1,-1,2,-1
2020.12.10T11:45:00,1,-2,-1,-2,-1,-2,-1,-1,1,2,1,1,2,-2,1,1,-2,1,1,-2,-1,-2,-2,-2,-1,2,1,-1,-1,1,1,2,1,-1,-1,-1,-1,1,-2,-1,-1,-2
2020.12.10T11:46:00,2,2,1,-2,2,2,1,1,-1,-2,-1,-1,-1,-1,-1,-2,-1,-2,1,-1,1,1,1,-2,1,2,2,2,2,2,2,2,-2,-1,-2,-1,-1,-2,-1,1,-2,-2
2020.12.10T11:47:00,-2,-1,-1,2,-1,-2,2,1,-1,1,-1,1,2,1,1,1,-1,2,1,-1,-2,-1,-1,-1,-1,1,-2,-1,-1,-1,1,-1,-2,1,-2,-1,1,-2,1,-1,2,2
2020.12.10T11:48:00,-2,2,-1,-2,-1,2,2,-1,-2,-2,-2,-1,-2,-1,-2,-2,-2,-1,-2,1,1,2,1,1,1,-2,1,2,-1,1,-1,-2,1,2,2,2,-1,1,1,1,1,-1
2020.12.10T11:49:00,1,-1,1,1,-1,-2,-2,-1,1,1,1,-1,-1,1,1,1,1,-2,-1,2,2,1,2,1,1,2,1,-1,-1,-1,1,2,2,-1,-1,1,1,2,1,1,-1,2
2020.12.10T11:50:00,-1,-2,-2,-1,-1,1,-2,-2,1,1,1,-2,-1,-1,-1,1,1,-2,1,1,1,-1,1,1,1,1,-1,-2,-2,-1,1,2,-1,-2,-2,-1,-2,-1,-1,-1,-2,1
2020.12.10T11:51:00,1,1,1,-1,2,2,-1,-1,-1,-1,1,1,-2,-2,-1,-1,1,2,1,2,2,2,2,2,2,1,1,1,1,2,2,-1,-2,-1,1,-1,-2,-2,-1,-1,2,1
2020.12.10T11:52:00,1,2,-1,-1,-1,-1,2,-1,-1,1,1,2,2,1,1,-1,1,1,-1,-2,-2,-2,-2,-2,-2,2,1,2,1,-1,-1,1,2,2,2,1,1,2,1,1,1,-1
2020.12.10T11:53:00,-2,2,-2,2,-1,1,2,-1,-2,-1,-2,-1,-1,1,-2,1,1,-1,-1,1,-1,1,-1,2,-1,-2,-2,-2,-2,-2,-2,-2,1,2,2,1,-1,1,1,1,1,-1
2020.12.10T11:54:00,-1,-2,-2,2,-2,1,-2,-1,1,1,1,-2,1,-1,-1,2,-1,1,-1,-1,-1,-2,-2,1,-2,1,-2,-2,-2,-2,-1,2,2,-1,1,1,1,2,1,1,2,-1
2020.12.10T11:55:00,1,1,1,2,-1,-2,1,-1,-1,1,1,1,1,-1,1,2,1,2,1,1,1,1,1,2,1,-2,-2,-1,-2,-2,-2,-2,-1,1,2,-1,1,2,1,-3,2,2
2020.12.10T11:56:00,1,1,2,2,-1,1,-1,2,1,1,1,1,1,1,1,2,1,2,-1,-1,1,1,2,1,-1,-1,-1,-2,1,-2,1,-1,2,1,1,-1,2,-1,1,2,2,-1
2020.12.10T11:57:00,-2,-2,-2,-2,-3,-2,-2,-2,-1,2,1,-2,1,2,-1,1,2,1,-1,2,1,-1,-2,1,-1,-2,-2,-2,-2,-2,-1,-1,2,1,1,2,1,2,2,1,2,1
2020.12.10T11:58:00,1,1,2,1,1,1,-1,2,1,-1,1,1,-1,2,1,-1,1,2,1,1,1,1,2,1,1,-2,1,-1,1,1,2,-2,-1,-1,-1,2,1,1,-1,-1,2,-1
2020.12.10T11:59:00,1,1,1,-2,2,1,1,1,1,1,1,1,1,-2,1,-1,1,-2,1,-1,-1,1,1,-1,1,2,2,2,2,2,2,2,-2,-1,-2,-1,-2,-2,-1,-2,-2,-1
2020.12.10T12:00:00,-2,-1,-2,-2,-2,1,2,-1,-1,-1,-1,-1,-2,2,-1,-2,1,-2,-1,2,2,2,2,1,1,1,1,1,-1,-1,-2,1,1,1,1,1,-1,-1,1,2,-2,-1
2020.12.10T12:01:00,2,1,-1,1,1,2,-1,-2,-1,-1,-1,-2,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,2,-1,2,-1,-2,2,-1,-1,1,1,-1,-2
